Project,Scenario,Dollar_year,Weather_year,Start_day,state,country,tz,t
Cambium_2022,MidCase,2021$,2012,Sunday,WA,usa,PT,2035
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2035-01-01 03:00:00,2035-01-01 00:00:00,15075.7,0.0,0.0,107.1,15182.8,14559.4,14042.9,6958.4,6212.6,0.0342,0.0496,0.93,1.0,30.5,0.6,0.06,4.3,161.3,0.03,30.5,9.2,39.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.1,8.2,0.82,51.4,2275.1,0.19,435.6,119.2,554.8,30.89,0.0,0.0,30.89,32.5,0.0,0.0,32.5,14437.0,1139.8,0.0,36.1,0.0,1198.8,0.0,0.0,0.0,0.0,1064.2,0.0,0.0,0.0,9948.6,1049.5,0.0,0.0,0.0,0.0,1139.8,0.0
2035-01-01 04:00:00,2035-01-01 01:00:00,14448.8,0.0,0.0,101.3,14550.1,13963.0,13365.4,6975.8,6296.9,0.0336,0.0475,0.92,1.0,31.8,0.6,0.06,4.5,167.8,0.03,31.8,9.5,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.1,8.2,0.82,51.3,2270.1,0.19,434.6,119.0,553.6,30.89,0.0,0.0,30.89,32.43,0.0,0.0,32.43,13871.2,1184.7,2.6,36.1,0.0,1198.8,0.0,0.0,0.0,0.0,1064.2,0.0,0.0,0.0,9335.3,1049.5,0.0,0.0,0.0,0.0,1184.7,0.0
2035-01-01 05:00:00,2035-01-01 02:00:00,14171.5,0.0,0.0,74.6,14246.1,13698.7,12890.6,4801.0,4526.2,0.0334,0.0466,0.92,1.0,31.5,0.6,0.06,4.5,166.6,0.03,31.6,9.5,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.3,8.4,0.84,52.6,2328.4,0.19,445.8,122.0,567.8,30.89,0.0,0.0,30.89,32.4,0.0,0.0,32.4,13971.4,1355.6,1.6,36.1,0.0,1198.8,0.0,0.0,0.0,0.0,1064.2,0.0,0.0,0.0,9265.6,1049.5,0.0,0.0,0.0,0.0,1355.6,0.0
2035-01-01 06:00:00,2035-01-01 03:00:00,14032.9,0.0,0.0,91.2,14124.1,13566.5,12584.7,6282.9,5652.7,0.0332,0.0462,0.92,1.0,32.6,0.6,0.06,4.6,172.5,0.03,32.7,9.8,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.4,8.4,0.84,52.6,2329.0,0.19,445.9,122.1,567.9,30.89,0.0,0.0,30.89,32.38,0.0,0.0,32.38,13493.9,1539.4,12.6,36.1,0.0,1198.8,0.0,0.0,0.0,0.0,1064.2,0.0,0.0,0.0,8593.3,1049.5,0.0,0.0,0.0,0.0,1539.4,0.0
2035-01-01 07:00:00,2035-01-01 04:00:00,14086.4,0.0,0.0,88.3,14174.7,13617.5,12515.0,5642.4,5012.5,0.0333,0.0463,0.92,1.0,32.5,0.6,0.06,4.6,171.9,0.03,32.6,9.8,42.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.3,8.2,0.82,51.5,2281.4,0.19,436.8,119.6,556.3,30.89,0.0,0.0,30.89,32.39,0.0,0.0,32.39,13544.8,1659.7,36.6,36.1,0.0,1065.5,0.0,0.0,0.0,0.0,1064.2,0.0,0.0,0.0,8633.3,1049.5,0.0,0.0,0.0,0.0,1659.7,0.0
2035-01-01 08:00:00,2035-01-01 05:00:00,14520.8,0.0,0.0,68.5,14589.3,14031.5,12909.0,4491.5,3807.2,0.0337,0.0478,0.92,1.0,31.7,0.6,0.06,4.5,167.4,0.03,31.7,9.5,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.2,8.4,0.84,52.7,2332.9,0.19,446.6,122.3,568.9,30.89,0.0,0.0,30.89,32.44,0.0,0.0,32.44,13904.9,1680.3,31.4,36.1,0.0,1198.8,0.0,0.0,0.0,0.0,1064.2,0.0,0.0,0.0,8686.9,1049.5,0.0,157.7,0.0,0.0,1680.3,0.0
2035-01-01 09:00:00,2035-01-01 06:00:00,15238.1,0.0,0.0,109.0,15347.1,14713.7,13684.4,7751.1,6617.3,0.0344,0.0501,0.93,1.0,31.0,0.6,0.06,4.4,163.8,0.03,31.0,9.3,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.7,8.5,0.85,53.2,2356.4,0.2,451.1,123.5,574.6,30.86,0.0,0.0,30.86,32.49,0.0,0.0,32.49,14213.3,1662.7,79.5,36.1,0.0,1065.5,0.0,0.0,0.0,0.0,1064.2,0.0,0.0,0.0,8996.6,1049.5,0.0,259.2,0.0,0.0,1662.7,0.0
2035-01-01 10:00:00,2035-01-01 07:00:00,15868.3,0.0,259.2,157.5,16285.1,15311.7,14571.7,14613.0,6594.0,0.0351,0.0522,0.94,1.0,26.6,0.5,0.05,4.1,141.4,0.03,26.7,8.3,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,23.6,0.22,0.0,10.2,10.2,8.5,0.0,0.0,8.5,8.97,0.0,0.0,8.97,8266.1,1713.3,0.0,27.8,0.0,846.2,0.0,0.0,0.0,104.9,532.1,0.0,0.0,0.0,4411.5,735.1,0.0,0.0,0.0,0.0,1608.4,0.0
2035-01-01 11:00:00,2035-01-01 08:00:00,16532.8,80.5,259.2,161.0,17033.4,15940.7,15182.5,15193.1,6535.1,0.0358,0.0544,0.94,1.0,26.3,0.5,0.05,3.9,139.5,0.03,26.3,8.1,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,1.6,1.69,0.0,0.0,1.69,8375.4,1851.0,0.0,0.0,0.0,846.2,0.0,0.0,0.0,295.8,532.1,0.0,0.0,0.0,4411.5,734.6,0.0,0.0,0.0,15.5,1539.7,0.0
2035-01-01 12:00:00,2035-01-01 09:00:00,17175.9,77.5,259.2,176.1,17688.7,16548.3,16095.9,16709.6,7138.2,0.0365,0.0565,0.93,1.0,27.1,0.5,0.05,4.0,143.9,0.03,27.2,8.3,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,1.6,1.7,0.0,0.0,1.7,8117.3,1592.9,0.0,0.0,0.0,846.2,0.0,0.0,0.0,276.8,532.1,0.0,0.0,0.0,4411.5,734.6,0.0,0.0,0.0,36.2,1279.8,0.0
2035-01-01 13:00:00,2035-01-01 10:00:00,17437.3,67.1,259.2,180.0,17943.7,16794.8,16399.1,17133.4,7258.7,0.0368,0.0573,0.93,1.0,27.3,0.5,0.05,4.0,144.8,0.03,27.3,8.4,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,1.6,1.7,0.0,0.0,1.7,8069.0,1544.6,0.0,0.0,0.0,846.2,0.0,0.0,0.0,319.6,532.1,0.0,0.0,0.0,4411.5,734.6,0.0,0.0,0.0,41.3,1183.7,0.0
2035-01-01 14:00:00,2035-01-01 11:00:00,17480.7,33.7,259.2,180.9,17954.5,16835.7,16410.4,17198.1,7312.1,0.0369,0.0575,0.93,1.0,27.3,0.5,0.05,4.0,144.8,0.03,27.3,8.4,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,1.6,1.7,0.0,0.0,1.7,8068.5,1544.1,0.0,0.0,0.0,846.2,0.0,0.0,0.0,317.8,532.1,0.0,0.0,0.0,4411.5,734.6,0.0,0.0,0.0,44.2,1182.1,0.0
2035-01-01 15:00:00,2035-01-01 12:00:00,17621.2,7.0,259.2,183.5,18070.9,16968.0,16536.0,17439.3,7427.8,0.0371,0.0579,0.93,1.0,27.3,0.5,0.05,4.0,144.9,0.03,27.4,8.4,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,1.6,1.7,0.0,0.0,1.7,8059.3,1534.9,0.0,0.0,0.0,846.2,0.0,0.0,0.0,178.7,532.1,0.0,0.0,0.0,4411.5,734.6,0.0,0.0,0.0,35.8,1320.3,0.0
2035-01-01 16:00:00,2035-01-01 13:00:00,17355.1,81.0,259.2,173.0,17868.3,16717.2,15932.9,16522.0,7113.6,0.0368,0.0571,0.94,1.0,26.0,0.5,0.05,3.9,138.1,0.03,26.1,8.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,1.52,1.61,0.0,0.0,1.61,8459.9,1935.4,0.0,0.0,0.0,846.2,0.0,0.0,0.0,447.0,532.1,0.0,0.0,0.0,4411.5,734.6,0.0,0.0,0.0,44.1,1444.3,0.0
2035-01-01 17:00:00,2035-01-01 14:00:00,17154.3,42.6,259.2,173.2,17629.3,16527.9,15805.0,16350.5,7069.9,0.0365,0.0564,0.94,1.0,26.4,0.5,0.05,3.9,139.9,0.03,26.4,8.1,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,1.6,1.7,0.0,0.0,1.7,8348.8,1824.3,0.0,0.0,0.0,846.2,0.0,0.0,0.0,82.3,532.1,0.0,0.0,0.0,4411.5,734.6,0.0,0.0,0.0,33.6,1708.3,0.0
